Messstelle:                ;Lebern, Br  3532
HZB-Nummer:                ;310532
HD-Nummer:                 ;uw3532
DBMS-Nummer:               ;6002063
PorenGW-Gebiet:            ;380 Grazer Feld
Grundwasserkörper:         ;Grazer Feld (Graz/Andritz - Wildon) [MUR]
Sachgebiet:                ;UWQ
Arbeitsgebiet:             ;GW
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
Höhenangaben [m ü.A.]:     ;gültig seit: ;24.11.2011
 Geländehöhe:              ;335,41
 Messpunkthöhe:            ;335,86
 Sohllage:                 ;323,66
 T-Messtiefe u.GOK:        ;11,50
Geographische Koordinaten (Referenzellipsoid: Bessel 1841):
 gültig seit:              ;Länge (Grad,Min,Sek):    ;Breite  (Grad,Min,Sek):
  15.12.1939               ;15 26 51                 ;46 59 31
  01.01.2003               ;15 26 51                 ;46 59 33
Exportzeitreihe:           ;GWS,I,Mit,M,1,A,Z,0,,,
Exportqualität:            ;MAXQUAL (3)
Mit Textausgabe:
  Nur Texte die in der Textrelation enthalten sind
  Texte in der Textrelation 30TCODVW.dbf
  Text:  ;Klartext:
  Texte ohne '->' oder '<-' sind nur für diesen Zeitpunkt gültig
  Texte mit '->' kennzeichnen den Beginn eines Textintervalls
  Texte mit '<-' kennzeichnen das Ende eines Textintervalls
01.07.1985 00:00:00   ;   325,24 ;     
01.08.1985 00:00:00   ;   325,26 ;     
01.09.1985 00:00:00   ;   325,33 ;     
01.10.1985 00:00:00   ;   325,16 ;     
01.11.1985 00:00:00   ;   325,00 ;     
01.12.1985 00:00:00   ;   324,88 ;     
01.01.1986 00:00:00   ;   324,79 ;     
01.02.1986 00:00:00   ;   324,73 ;     
01.03.1986 00:00:00   ;   324,77 ;     
01.04.1986 00:00:00   ;   325,60 ;     
01.05.1986 00:00:00   ;   325,70 ;     
01.06.1986 00:00:00   ;   325,76 ;     
01.07.1986 00:00:00   ;   325,76 ;     
01.08.1986 00:00:00   ;   325,68 ;     
01.09.1986 00:00:00   ;   325,57 ;     
01.10.1986 00:00:00   ;   325,41 ;     
01.11.1986 00:00:00   ;   325,23 ;     
01.12.1986 00:00:00   ;   325,03 ;     
01.01.1987 00:00:00   ;   324,84 ;     
01.02.1987 00:00:00   ;   324,72 ;     
01.03.1987 00:00:00   ;   324,83 ;     
01.04.1987 00:00:00   ;   325,17 ;     
01.05.1987 00:00:00   ;   325,43 ;     
01.06.1987 00:00:00   ;   325,48 ;     
01.07.1987 00:00:00   ;   325,45 ;     
01.08.1987 00:00:00   ;   325,61 ;     
01.09.1987 00:00:00   ;   325,61 ;     
01.10.1987 00:00:00   ;   325,44 ;     
01.11.1987 00:00:00   ;   325,28 ;     
01.12.1987 00:00:00   ;   325,26 ;     
01.01.1988 00:00:00   ;   325,26 ;     
01.02.1988 00:00:00   ;   325,19 ;     
01.03.1988 00:00:00   ;   325,20 ;     
01.04.1988 00:00:00   ;   325,24 ;     
01.05.1988 00:00:00   ;   325,28 ;     
01.06.1988 00:00:00   ;   325,41 ;     
01.07.1988 00:00:00   ;   325,48 ;     
01.08.1988 00:00:00   ;   325,45 ;     
01.09.1988 00:00:00   ;   325,59 ;     
01.10.1988 00:00:00   ;   325,75 ;     
01.11.1988 00:00:00   ;   325,60 ;     
01.12.1988 00:00:00   ;   325,43 ;     
01.01.1989 00:00:00   ;   325,29 ;     
01.02.1989 00:00:00   ;   325,16 ;     
01.03.1989 00:00:00   ;   325,06 ;     
01.04.1989 00:00:00   ;   325,07 ;     
01.05.1989 00:00:00   ;   325,17 ;     
01.06.1989 00:00:00   ;   325,31 ;     
01.07.1989 00:00:00   ;   325,93 ;     
01.08.1989 00:00:00   ;   326,27 ;     
01.09.1989 00:00:00   ;   326,34 ;     
01.10.1989 00:00:00   ;   326,25 ;     
01.11.1989 00:00:00   ;   326,04 ;     
01.12.1989 00:00:00   ;   325,83 ;     
01.01.1990 00:00:00   ;   325,63 ;     
01.02.1990 00:00:00   ;   325,45 ;     
01.03.1990 00:00:00   ;   325,34 ;     
01.04.1990 00:00:00   ;   325,35 ;     
01.05.1990 00:00:00   ;   325,39 ;     
01.06.1990 00:00:00   ;   325,61 ;     
01.07.1990 00:00:00   ;   325,84 ;     
01.08.1990 00:00:00   ;   325,93 ;     
01.09.1990 00:00:00   ;   325,76 ;     
01.10.1990 00:00:00   ;   325,58 ;     
01.11.1990 00:00:00   ;   325,57 ;     
01.12.1990 00:00:00   ;   325,51 ;     
01.01.1991 00:00:00   ;   325,45 ;     
01.02.1991 00:00:00   ;   325,35 ;     
01.03.1991 00:00:00   ;   325,26 ;     
01.04.1991 00:00:00   ;   325,34 ;     
01.05.1991 00:00:00   ;   325,61 ;     
01.06.1991 00:00:00   ;   325,92 ;     
01.07.1991 00:00:00   ;   326,05 ;     
01.08.1991 00:00:00   ;   326,27 ;     
01.09.1991 00:00:00   ;   326,20 ;     
01.10.1991 00:00:00   ;   326,09 ;     
01.11.1991 00:00:00   ;   326,09 ;     
01.12.1991 00:00:00   ;   326,45 ;     
01.01.1992 00:00:00   ;   326,18 ;     
01.02.1992 00:00:00   ;   325,93 ;     
01.03.1992 00:00:00   ;   325,77 ;     
01.04.1992 00:00:00   ;   325,68 ;     
01.05.1992 00:00:00   ;   325,70 ;     
01.06.1992 00:00:00   ;   325,84 ;     
01.07.1992 00:00:00   ;   325,91 ;     
01.08.1992 00:00:00   ;   325,76 ;     
01.09.1992 00:00:00   ;   325,60 ;     
01.10.1992 00:00:00   ;   325,53 ;     
01.11.1992 00:00:00   ;   325,54 ;     
01.12.1992 00:00:00   ;   325,66 ;     
01.01.1993 00:00:00   ;   325,72 ;     
01.02.1993 00:00:00   ;   325,56 ;     
01.03.1993 00:00:00   ;   325,36 ;     
01.04.1993 00:00:00   ;   325,27 ;     
01.05.1993 00:00:00   ;   325,25 ;     
01.06.1993 00:00:00   ;   325,26 ;     
01.07.1993 00:00:00   ;   325,25 ;     
01.08.1993 00:00:00   ;   325,32 ;     
01.09.1993 00:00:00   ;   325,28 ;     
01.10.1993 00:00:00   ;   325,34 ;     
01.11.1993 00:00:00   ;   325,52 ;     
01.12.1993 00:00:00   ;   325,52 ;     
01.01.1994 00:00:00   ;   325,71 ;     
01.02.1994 00:00:00   ;   325,71 ;     
01.03.1994 00:00:00   ;   325,56 ;     
01.04.1994 00:00:00   ;   325,55 ;     
01.05.1994 00:00:00   ;   325,57 ;     
01.06.1994 00:00:00   ;   325,69 ;     
01.07.1994 00:00:00   ;   325,72 ;     
01.08.1994 00:00:00   ;   325,69 ;     
01.09.1994 00:00:00   ;   325,67 ;     
01.10.1994 00:00:00   ;   325,56 ;     
01.11.1994 00:00:00   ;   325,52 ;     
01.12.1994 00:00:00   ;   325,48 ;     
01.01.1995 00:00:00   ;   325,38 ;     
01.02.1995 00:00:00   ;   325,34 ;     
01.03.1995 00:00:00   ;   325,79 ;     
01.04.1995 00:00:00   ;   325,90 ;     
01.05.1995 00:00:00   ;   325,85 ;     
01.06.1995 00:00:00   ;   325,83 ;     
01.07.1995 00:00:00   ;   325,89 ;     
01.08.1995 00:00:00   ;   325,93 ;     
01.09.1995 00:00:00   ;   325,96 ;     
01.10.1995 00:00:00   ;   326,02 ;     
01.11.1995 00:00:00   ;   325,85 ;     
01.12.1995 00:00:00   ;   325,67 ;     
01.01.1996 00:00:00   ;   325,56 ;     
01.02.1996 00:00:00   ;   325,47 ;     
01.03.1996 00:00:00   ;   325,45 ;     
01.04.1996 00:00:00   ;   326,25 ;     
01.05.1996 00:00:00   ;   326,41 ;     
01.06.1996 00:00:00   ;   326,32 ;     
01.07.1996 00:00:00   ;   326,22 ;     
01.08.1996 00:00:00   ;   326,18 ;     
01.09.1996 00:00:00   ;   326,20 ;     
01.10.1996 00:00:00   ;   326,34 ;     
01.11.1996 00:00:00   ;   326,56 ;     
01.12.1996 00:00:00   ;   326,34 ;     
01.01.1997 00:00:00   ;   326,09 ;     
01.02.1997 00:00:00   ;   325,91 ;     
01.03.1997 00:00:00   ;   325,80 ;     
01.04.1997 00:00:00   ;   325,73 ;     
01.05.1997 00:00:00   ;   325,74 ;     
01.06.1997 00:00:00   ;   325,78 ;     
01.07.1997 00:00:00   ;   325,89 ;     
01.08.1997 00:00:00   ;   325,99 ;     
01.09.1997 00:00:00   ;   326,27 ;     
01.10.1997 00:00:00   ;   326,09 ;     
01.11.1997 00:00:00   ;   325,85 ;     
01.12.1997 00:00:00   ;   325,78 ;     
01.01.1998 00:00:00   ;   325,84 ;     
01.02.1998 00:00:00   ;   325,75 ;     
01.03.1998 00:00:00   ;   325,62 ;     
01.04.1998 00:00:00   ;   325,52 ;     
01.05.1998 00:00:00   ;   325,49 ;     
01.06.1998 00:00:00   ;   325,48 ;     
01.07.1998 00:00:00   ;   325,57 ;     
01.08.1998 00:00:00   ;   325,60 ;     
01.09.1998 00:00:00   ;   325,69 ;     
01.10.1998 00:00:00   ;   325,87 ;     
01.11.1998 00:00:00   ;   326,00 ;     
01.12.1998 00:00:00   ;   325,86 ;     
01.01.1999 00:00:00   ;   325,70 ;     
01.02.1999 00:00:00   ;   325,56 ;     
01.03.1999 00:00:00   ;   325,45 ;     
01.04.1999 00:00:00   ;   325,40 ;     
01.05.1999 00:00:00   ;   325,47 ;     
01.06.1999 00:00:00   ;   325,64 ;     
01.07.1999 00:00:00   ;   325,91 ;     
01.08.1999 00:00:00   ;   326,06 ;     
01.09.1999 00:00:00   ;   326,25 ;     
01.10.1999 00:00:00   ;   326,08 ;     
01.11.1999 00:00:00   ;   325,91 ;     
01.12.1999 00:00:00   ;   325,73 ;     
01.01.2000 00:00:00   ;   325,57 ;     
01.02.2000 00:00:00   ;   325,46 ;     
01.03.2000 00:00:00   ;   325,39 ;     
01.04.2000 00:00:00   ;   325,44 ;     
01.05.2000 00:00:00   ;   325,51 ;     
01.06.2000 00:00:00   ;   325,55 ;     
01.07.2000 00:00:00   ;   325,53 ;     
01.08.2000 00:00:00   ;   325,54 ;     
01.09.2000 00:00:00   ;   325,47 ;     
01.10.2000 00:00:00   ;   325,45 ;     
01.11.2000 00:00:00   ;   325,48 ;     
01.12.2000 00:00:00   ;   325,51 ;     
01.01.2001 00:00:00   ;   325,52 ;     
01.02.2001 00:00:00   ;   325,53 ;     
01.03.2001 00:00:00   ;   325,43 ;     
01.04.2001 00:00:00   ;   325,43 ;     
01.05.2001 00:00:00   ;   325,45 ;     
01.06.2001 00:00:00   ;   325,53 ;     
01.07.2001 00:00:00   ;   325,52 ;     
01.08.2001 00:00:00   ;   325,42 ;     
01.09.2001 00:00:00   ;   325,38 ;     
01.10.2001 00:00:00   ;   325,36 ;     
01.11.2001 00:00:00   ;   325,20 ;     
01.12.2001 00:00:00   ;   325,02 ;     
01.01.2002 00:00:00   ;   324,82 ;     
01.02.2002 00:00:00   ;   324,70 ;     
01.03.2002 00:00:00   ;   324,63 ;     
01.04.2002 00:00:00   ;   324,63 ;     
01.05.2002 00:00:00   ;   324,67 ;     
01.06.2002 00:00:00   ;   324,71 ;     
01.07.2002 00:00:00   ;   324,73 ;     
01.08.2002 00:00:00   ;   324,90 ;     
01.09.2002 00:00:00   ;   324,87 ;     
01.10.2002 00:00:00   ;   324,87 ;     
01.11.2002 00:00:00   ;   324,80 ;     
01.12.2002 00:00:00   ;   325,07 ;     
01.01.2003 00:00:00   ;   325,18 ;     
01.02.2003 00:00:00   ;   325,03 ;     
01.03.2003 00:00:00   ;   324,90 ;     
01.04.2003 00:00:00   ;   324,81 ;     
01.05.2003 00:00:00   ;   324,72 ;     
01.06.2003 00:00:00   ;   324,74 ;     
01.07.2003 00:00:00   ;   324,86 ;     
01.08.2003 00:00:00   ;   324,93 ;     
01.09.2003 00:00:00   ;   324,86 ;     
01.10.2003 00:00:00   ;   324,79 ;     
01.11.2003 00:00:00   ;   324,69 ;     
01.12.2003 00:00:00   ;   324,65 ;     
01.01.2004 00:00:00   ;   324,62 ;     
01.02.2004 00:00:00   ;   324,54 ;     
01.03.2004 00:00:00   ;   324,53 ;     
01.04.2004 00:00:00   ;   324,89 ;     
